date,close,open,high,low,volume,x(t-1),x(t-2),x(t-3),MA5,MA10,MA20,BIAS5,BIAS10,DIFF,BU,BL,KDJ,KDJ(t-1),ROC,TR（14）,MTM6,MTM12,WR%10,WR%5,OSC6,OSC12,RSI6,RSI12,PSY,OBV,return,(x(t)-xo(t))/xo(t),(x(t)-xl(t))/(xh(t)- xl(t)),(MA5(t)-MA5(t-1))/MA5(t-1),(MA20(t)-MA20(t-1))/MA20(t-1),(MA5(t)-MA20(t-1))/MA20(t-1),(x(t)-MA20(t))/MA20(t)
10/13/17,3921.0017,3912.975,3927.1744,3908.8885,9014206800,3912.9536,3902.6868,3889.8637,3901.74,3862.75264,3849.4103,0.4936,1.508,28.2846,"3,904.7671","3,789.5958",81.7932,75.2879,2.0447,28.5155,98.4631,78.5664,5.1962,8.608129,1.1228,0.295654,89.711402,77.846947,83.333333,38525333145,0.0021,0.0021,0.6624,0.004350261,0.001235639,0.014846648,0.018598017
10/16/17,3913.4462,3926.2754,3947.4239,3913.3224,12135503300,3921.0017,3912.9536,3902.6868,3907.99,3872.31811,3853.800345,0.1396,1.0621,29.4985,"3,912.8871","3,787.8533",79.3891,81.7932,1.9706,28.3075,76.9449,75.6286,24.4371,36.949432,1.366,0.375734,79.426682,73.536834,83.333333,38403978112,-0.0019,-0.0033,0.0036,0.001601264,0.001140446,0.015217837,0.015477152
10/17/17,3913.0688,3910.7894,3924.6141,3900.4758,8224122700,3913.4462,3921.0017,3912.9536,3912.63,3881.54683,3857.55708,0.0112,0.8121,30.0833,"3,919.9179","3,786.0112",77.6923,79.3891,1.9631,28.3847,30.8612,75.3384,25.7013,55.476861,1.4294,0.470286,78.88461,73.315642,83.333333,38321736885,-0.0001,0.0006,0.5217,0.001187572,0.000974813,0.015265361,0.014390382
10/18/17,3944.1626,3914.8152,3944.4106,3914.8152,10096984100,3913.0688,3913.4462,3921.0017,3920.93,3893.84309,3862.634905,0.5926,1.2923,32.679,"3,931.9117","3,780.7186",84.2388,77.6923,3.3101,28.951,54.2989,126.3711,2.4398,6.538724,1.5715,0.653988,87.391926,78.994484,83.333333,38422706726,0.0079,0.0075,0.9916,0.002120097,0.001316332,0.016428252,0.021106757
10/19/17,3931.2495,3940.5831,3944.0349,3923.6455,10652725200,3944.1626,3913.0688,3913.4462,3924.59,3904.71418,3867.69961,0.1698,0.6796,33.3102,"3,940.2812","3,778.6414",83.6295,84.2388,2.8912,28.6001,28.5627,110.4679,13.2336,34.45166,1.6108,0.808177,72.778991,72.047924,75,38316179474,-0.0033,-0.0024,0.3729,0.000933244,0.001311205,0.016039594,0.016430927
10/20/17,3926.852,3918.5265,3928.9607,3910.1974,7298018000,3931.2495,3944.1626,3913.0688,3925.76,3913.74925,3872.477385,0.0279,0.3348,33.0743,"3,947.0972","3,779.2854",81.6293,83.6295,2.7649,28.203,13.8984,105.652,22.3711,43.818387,1.5738,0.936472,68.12396,69.768646,66.666667,38243199294,-0.0011,0.0021,0.8876,0.000298136,0.001235301,0.015011608,0.0140413
10/23/17,3930.7981,3930.8914,3936.2729,3920.6562,8148498000,3926.852,3931.2495,3944.1626,3929.23,3918.6083,3876.86015,0.04,0.3111,32.8274,"3,953.6253","3,780.8195",78.8037,81.6293,2.8321,28.3678,9.7964,108.2595,18.0799,30.983412,1.5121,1.061987,70.177947,70.676756,66.666667,38324684274,0.001,0,0.6494,0.000884003,0.001131773,0.014655377,0.013912792
10/24/17,3959.3953,3926.2299,3959.4951,3922.0288,9305815400,3930.7981,3926.852,3931.2495,3938.49,3925.56146,3883.22411,0.5308,0.8619,34.5411,"3,964.0221","3,780.7113",85.8154,78.8037,3.2033,30.0617,45.9491,122.894,0.1349,0.202444,1.573,1.18927,80.887753,76.304045,66.666667,38417742428,0.0073,0.0084,0.9973,0.002358047,0.001641524,0.015896846,0.01961545
10/25/17,3976.949,3958.1669,3978.0893,3954.0011,8820545800,3959.3953,3930.7981,3926.852,3945.05,3932.98768,3889.949795,0.8086,1.1178,36.8904,"3,976.6409","3,778.7859",90.0539,85.8154,2.4404,30.8125,63.8802,94.7414,1.4158,1.679582,1.7032,1.251775,84.885857,79.002353,66.666667,38505947886,0.0044,0.0047,0.9527,0.001664922,0.001731985,0.015921278,0.022365123
10/26/17,3993.5752,3980.0479,4013.5988,3973.5535,12989546500,3976.949,3959.3953,3930.7981,3957.51,3941.04984,3897.737675,0.9112,1.3328,39.6369,"3,990.8856","3,776.1542",87.469,90.0539,2.6662,31.5525,49.4126,103.7115,17.7007,19.364922,1.761,1.321091,87.789166,81.212855,66.666667,38635843351,0.0042,0.0034,0.5,0.003159692,0.002002052,0.017367886,0.024587987
